hotel_id,rate,review_title
0,1.0,décevoir 5 étoile venir passer week end lux saint gille 974 être très déçu accueil froid manqu entretien carreau casser piscine allée fauteuil plage parasols piteux état télévision wi fi fonctionner chambre mérite 5 étoile prix pratiquer dommage car bénéficier cadre exceptionnel van
0,4.0,cadre magnifique super hôtel cadre magnifique grand bel piscine petit déjeuner copieux très large choix personnel accueillant toujours sourire seul bémol 5 étoile chambre restent basique manqu transat auprès piscine car gens bloquer   transat pendant heure partir   faire   tour pénaliser autre mise part cela avoir passer super moment mari reviendrons certainem
0,5.0,weekend rêve être suite anniversaire trop beau avoir avoir adorer accueil être très gentil très   professionnel avoir avoir adorer restaurant page être juste top super petit déjeuner servir également   massage duo être petit cerise gâteau vraiment exceptionnel recommande merci avoir tout équipe avoir reviend
0,5.0,superbe hotel   manifiqu cadre excellent accueil très bien conseiller choix chambre être suite deux garçon suite être magnifique baignoire douche adapté personne mobilité réduit dommage avoir siège douche sinon massage être exceller repas petit déjeuner copieux gourmand dire plus autre être excellent week e
0,5.0,super moment famille recommande magnifique séjour piscine   enfant avoir adorer merci ensemble personnel être petit soin écoute plus particulièrement isabelle accueil rieul petit attention chambre être magnifique super confortable 🥰 très bientôt merci tata biscotte avoir conseiller
0,5.0,hotel 5 étoile pied lagon bleu magnifique hotel prestation remarquable service irréprochable    excellent petit-déjeuner très bon restaurant midi soir 3 restaurant plus bar   avoir célébrer anniversaire mariage tout être parfaire comme habitude beaucoup attention particulier avoir rendre séjour inoubliable   agir 4èm séjour hotel revenir certaineme
0,5.0,week end entre copine week end être prévoir maurice donc annulévier agence voyage avoir décider passer lux   être 4 copine gymsuper moment détente personnel être très professionnel accueil arrivée comme départ rien dire barman coktail top axel serveur plage kiosque glacesle personnel restaurantsun mention spécial henri ibrahim très ému l' avoir connaître enfant revoir établissement trentaine année plus tard bravo félicitation tout équipe hôtel zéro fauteje être fier tant réunionnaise   voir qu' avoir réunion hôtel pouvoir satisfaire autant maurice être champion matière   vendredi
0,5.0,bel parenthèse improvisee   toujours plaisir passer séjour bel structure séjour improviser dernier minute grâce promo très attirant merci lux chambre toujours impeccable buffet dîner petit dej très complet grand merci surtout personnel avoir prendre grand soin équipe là bagagerie avoir être très disponible véhiculer être béquille équipe snack plage merci kevin conseil barmaid préparer rhum arranger équipe accueil cerise gâteau avoir bel attention fidélité re-merci lux bref avoir adorer revenir
0,4.0,cadre magnifique point fort personnel professionnel souriant serviable écoute cadre bord mer apaisant chambre propre literie très spacieux confortable piscine terrasse alentours rendre cadre très agréable petit déjeuner correct    point faible qualité image télé décevoir 5 étoile difficulté connecter wifi place parking peu étroite dommage qu’ n’ avoir jacuzzi spa tarif peu élevé bar cocktail fruit frais c’ être simple   jus oranger ananas   pouvoir juger repas car n’ avoir din
0,3.0,surprise équipe réactif agréable bon accueil être vrai niveau inférieur   5 étoile maurice cour équipement désuet bel grand piscine beaucoup effort rapport contexte cov
0,4.0,top seul bémol chambre lire commentaire précédentsj pense sincèrement n' avoir avoir chance répartition chambres(121    aller commencer point positif personnel   vraiment top tre serviable   aimable etc merci avoir établissement être super piscine resto lescocktails alcoolisé avoir goûté autre   -le petit dej monstrueux si dame faire œuf tout seul faire gros boulot servir tout monde    revanche chambre avoir être peu décevoir rapport standing hôtel    infiltration eau voir photo baignoire douchette fuite   réparation finition gros doigt enduit poser   sans peinture ni ponçage(photo chamb
0,5.0,week end entre fille 🥰 avoir passer week end déconnectant remercier mme isabelle morel responsable réception avoir accueillir chaleureusement répondre attente durant court séjour   avoir profiter moment cadre parfaire petit déjeuner tomber terre omelette être toujours délicieux merci tout personnel également sourire avoir bien dor
0,4.0,détent assuré hotel agréable personnel aimable   chambre propre petit déjeuner copieux restaurant plage   varié succulent prisciller avoir accueil très réactif   aimable   covid tout mesure sécurité être
0,5.0,top avoir passer séjour exceptionnel lieu bien sûr aussi personnel avoir permettre passer 6 jour paradis grand merci tout équipe personnel chambre celui restaurant bar merci particulier kevin excellent cocktail sympathie   revenir voir dès possible   céline olivier   juste petit bémol rapportà salle bain être digne 5 étoile falloir également cafetièr nespresso chambr
0,5.0,superbe hôtel équipe top meilleur hôtel île   avoir passer 2 semaine hôtel vacance toussaint famille couple 1 enfant 9 an   tout abord cadre hôtel être extraordinaire placer plus bel plage île bénéficiez lagon digne carte postal aménager transat parasol ainsi service bar ramener cocktail noix coco fraîche transat merci jonathan service accueil fort sympathique    bel grand piscine hôtel être chauffer pareil service bar servit transat vrai service 5 étoile   restauration être très bon qualité avoir 4 restaurant hôtel bar service continu club sandwich être succulent frite maison delice u
